user screen name,att,RT?
pared_sur,['ralanizok'],retweet
SpillinSawce,['thehill'],retweet
gabyolma,['RIDMEXICO'],retweet
baseballdad0027,['charliekirk11'],retweet
SaraGage906,['charliekirk11'],retweet
girasoli_xo,['soyursulita'],retweet
Lava12101,['SophyCh_E'],retweet
Maquinistaaaaaa,['Milenio'],tweet
lexyywest,['1funnymike'],retweet
OneCauseATATime,"['Jali_Cat', 'BetoORourke']",retweet
tkoebc,"['TheDemCoalition', 'DonaldJTrumpJr', 'Funder']",retweet
AntiMedia62,"['chuckwoolery', 'mrwalsh__']",retweet
ToriRob11,"['funder', 'TedCruz']",retweet
Fernando_23_,['PaisaTweets_'],retweet
lorraine2307,['ElyangelicaNews'],retweet
RealDaveA78,['charliekirk11'],retweet
carly_drohan,['Martin_cudi'],retweet
YME_07,['HOMEBOY187_'],retweet
sandeealice,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
albergri,['CNNEE'],retweet
hekglez,['Mboe55'],retweet
M4G4G1RL,"['M4G4G1RL', 'tedcruz']",tweet
csross91,['tedcruz'],tweet
RuthieRedSox,"['LNW4Trump', 'SenTedCruz', 'senatemajldr', 'SenateGOP']",retweet
PedroMG23,['elcitizen'],retweet
jjsalinas21,['ElyangelicaNews'],retweet
luzaltruva2865,['SophyCh_E'],retweet
thomesinc,"['Va_Funculo', 'tedcruz']",tweet
FerroAnton,['PeroniaRepublic'],retweet
Borchardt_Ya,[],tweet
GabrielWervix,['NachoRgz'],retweet
niborlag,['RagingGayCons'],retweet
chapo_umr,[],tweet
Nichivuul,['adamcbest'],retweet
Bamafanaticfan1,"['Bamafanaticfan1', 'ted']",tweet
csross91,['tedcruz'],tweet
meeza_feer,['telediario'],retweet
thermsmom,['charliekirk11'],retweet
ManuelQ182,[],tweet
dafne_zozaya,['TIME'],retweet
lkat1356,['tedcruz'],tweet
vicentmontagud,['08181'],retweet
uncommentari,['SenTedCruz'],retweet
inittowinit007,['LisaSmith4680'],retweet
